,country,year,sex,suicides_rate
170,Armenia,1995,female,13.879999999999999
171,Armenia,1995,male,37.91
172,Armenia,1996,female,7.050000000000001
173,Armenia,1996,male,30.0
174,Armenia,1997,female,9.419999999999998
175,Armenia,1997,male,22.810000000000002
176,Armenia,1998,female,6.26
177,Armenia,1998,male,21.16
178,Armenia,1999,female,9.76
179,Armenia,1999,male,14.92
180,Armenia,2000,female,10.5
181,Armenia,2000,male,23.8
182,Armenia,2001,female,8.3
183,Armenia,2001,male,21.48
184,Armenia,2002,female,4.97
185,Armenia,2002,male,33.10000000000001
186,Armenia,2003,female,6.6
187,Armenia,2003,male,26.830000000000002
188,Armenia,2006,female,7.930000000000001
189,Armenia,2006,male,35.74
190,Armenia,2007,female,7.42
191,Armenia,2007,male,31.599999999999998
192,Armenia,2008,female,5.62
193,Armenia,2008,male,29.53
194,Armenia,2009,female,4.38
195,Armenia,2009,male,29.320000000000004
196,Armenia,2010,female,8.74
197,Armenia,2010,male,31.67
198,Armenia,2011,female,10.34
199,Armenia,2011,male,22.64
200,Armenia,2012,female,8.7
201,Armenia,2012,male,27.87
202,Armenia,2013,female,12.06
203,Armenia,2013,male,25.419999999999998
204,Armenia,2014,female,9.440000000000001
205,Armenia,2014,male,27.57
206,Armenia,2015,female,9.76
207,Armenia,2015,male,35.519999999999996
208,Armenia,2016,female,5.869999999999999
209,Armenia,2016,male,34.690000000000005
210,Aruba,1995,female,0.0
211,Aruba,1995,male,308.51
212,Aruba,1999,female,0.0
213,Aruba,1999,male,115.47000000000001
214,Aruba,2000,female,146.22
215,Aruba,2000,male,159.11
216,Aruba,2001,female,0.0
217,Aruba,2001,male,27.28
218,Aruba,2002,female,0.0
219,Aruba,2002,male,126.46000000000002
220,Aruba,2003,female,0.0
221,Aruba,2003,male,12.93
222,Aruba,2004,female,15.04
223,Aruba,2004,male,161.67999999999998
224,Aruba,2005,female,52.22
225,Aruba,2005,male,47.36
226,Aruba,2006,female,10.93
227,Aruba,2006,male,85.38
228,Aruba,2007,female,11.17
