year,generation,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years
2003,Silent,0.0,0.0,0.0,0.0,2990.770000000002,4069.7400000000002
2004,Boomers,0.0,0.0,2522.2,0.0,0.0,0.0
2004,Generation X,0.0,2000.7200000000003,0.0,0.0,0.0,0.0
2004,Millenials,1461.0500000000002,0.0,0.0,102.63999999999996,0.0,0.0
2004,Silent,0.0,0.0,0.0,0.0,2702.5600000000013,3792.6299999999997
2005,Boomers,0.0,0.0,2410.15,0.0,0.0,0.0
2005,Generation X,0.0,1970.1400000000006,0.0,0.0,0.0,0.0
2005,Millenials,1388.1899999999998,0.0,0.0,118.89000000000001,0.0,0.0
2005,Silent,0.0,0.0,0.0,0.0,2657.7499999999995,3619.869999999999
2006,Boomers,0.0,0.0,2390.74,0.0,0.0,0.0
2006,Generation X,0.0,1864.0500000000009,0.0,0.0,0.0,0.0
2006,Millenials,1450.09,0.0,0.0,99.33,0.0,0.0
2006,Silent,0.0,0.0,0.0,0.0,2488.250000000001,3873.5499999999984
2007,Boomers,0.0,0.0,2364.54,0.0,0.0,0.0
2007,Generation X,0.0,2058.83,0.0,0.0,0.0,0.0
2007,Generation Z,0.0,0.0,0.0,111.15,0.0,0.0
2007,Millenials,1419.76,0.0,0.0,0.0,0.0,0.0
2007,Silent,0.0,0.0,0.0,0.0,2486.649999999999,3969.219999999998
2008,Boomers,0.0,0.0,2452.070000000001,0.0,0.0,0.0
2008,Generation X,0.0,1914.9399999999994,0.0,0.0,0.0,0.0
2008,Generation Z,0.0,0.0,0.0,105.19999999999995,0.0,0.0
2008,Millenials,1426.23,0.0,0.0,0.0,0.0,0.0
2008,Silent,0.0,0.0,0.0,0.0,2551.8500000000013,3695.5499999999993
2009,Boomers,0.0,0.0,2506.1800000000007,0.0,0.0,0.0
2009,Generation X,0.0,1957.1699999999992,0.0,0.0,0.0,0.0
2009,Generation Z,0.0,0.0,0.0,106.44000000000001,0.0,0.0
2009,Millenials,1429.1799999999998,0.0,0.0,0.0,0.0,0.0
2009,Silent,0.0,0.0,0.0,0.0,2597.1200000000026,3579.949999999998
2010,Generation X,0.0,1906.23,2398.2900000000004,0.0,0.0,0.0
2010,Generation Z,0.0,0.0,0.0,114.19999999999999,0.0,0.0
2010,Millenials,1403.3800000000003,0.0,0.0,0.0,0.0,0.0
2010,Silent,0.0,0.0,0.0,0.0,2436.900000000001,3584.99
2011,Boomers,0.0,0.0,0.0,0.0,2367.780000000001,0.0
2011,Generation X,0.0,0.0,2286.929999999999,0.0,0.0,0.0
2011,Generation Z,0.0,0.0,0.0,109.68000000000002,0.0,0.0
2011,Millenials,1447.76,1827.2099999999991,0.0,0.0,0.0,0.0
2011,Silent,0.0,0.0,0.0,0.0,0.0,3328.4800000000005
2012,Boomers,0.0,0.0,0.0,0.0,2325.459999999998,0.0
2012,Generation X,0.0,0.0,2214.2300000000005,0.0,0.0,0.0
2012,Generation Z,0.0,0.0,0.0,104.11999999999998,0.0,0.0
2012,Millenials,1363.6000000000001,1737.6600000000003,0.0,0.0,0.0,0.0
2012,Silent,0.0,0.0,0.0,0.0,0.0,3356.8399999999992
2013,Boomers,0.0,0.0,0.0,0.0,2297.640000000001,0.0
2013,Generation X,0.0,0.0,2119.91,0.0,0.0,0.0
2013,Generation Z,0.0,0.0,0.0,105.57000000000004,0.0,0.0
2013,Millenials,1309.4500000000003,1728.82,0.0,0.0,0.0,0.0
2013,Silent,0.0,0.0,0.0,0.0,0.0,3102.25
2014,Boomers,0.0,0.0,0.0,0.0,2148.6299999999987,0.0
2014,Generation X,0.0,0.0,1975.3300000000006,0.0,0.0,0.0
2014,Generation Z,0.0,0.0,0.0,100.44000000000004,0.0,0.0
2014,Millenials,1192.7499999999993,1677.4999999999998,0.0,0.0,0.0,0.0
2014,Silent,0.0,0.0,0.0,0.0,0.0,3212.08
2015,Boomers,0.0,0.0,0.0,0.0,1792.0199999999995,0.0
2015,Generation X,0.0,0.0,1556.8999999999999,0.0,0.0,0.0
2015,Generation Z,0.0,0.0,0.0,87.37999999999998,0.0,0.0
2015,Millenials,963.8800000000001,1253.8599999999997,0.0,0.0,0.0,0.0
2015,Silent,0.0,0.0,0.0,0.0,0.0,2599.950000000001
2016,Boomers,0.0,0.0,0.0,0.0,481.02000000000004,0.0
2016,Generation X,0.0,0.0,425.5499999999999,0.0,0.0,0.0
2016,Millenials,240.08000000000004,331.92000000000013,0.0,0.0,0.0,0.0
2016,Silent,0.0,0.0,0.0,0.0,0.0,668.8199999999999
