,year,sex,suicides_rate,population,gdp_per_capita,HDI for year
616,,,,9963127,250308,10.439999999999998
617,,,,9989325,224436,0.0
618,,,,8929942,195050,0.0
619,,,,4874900,384408,0.0
620,,,,4889100,454092,9.959999999999999
621,,,,4917300,457896,0.0
622,,,,4937300,421776,0.0
623,,,,4956400,428520,0.0
624,,,,4976200,429156,0.0
625,,,,4998610,394092,10.344
626,,,,5018451,394044,0.0
627,,,,5041222,425220,0.0
628,,,,5056783,517548,0.0
629,,,,5072927,594624,0.0
630,,,,5089852,623520,10.823999999999998
631,,,,5110460,664248,0.0
632,,,,5133001,746748,0.0
633,,,,5162525,821364,0.0
634,,,,5192790,742356,0.0
635,,,,5217785,740532,10.895999999999995
636,,,,5244150,787176,11.040000000000001
637,,,,5270539,744852,11.051999999999998
638,,,,5299698,777972,11.075999999999999
639,,,,5339166,793368,11.075999999999999
640,,,,5383060,671664,0.0
641,,,,66400,17820,0.0
642,,,,7661800,26856,7.572000000000002
643,,,,7881300,23316,0.0
644,,,,8356800,20028,0.0
645,,,,8593200,18228,0.0
646,,,,8578619,19428,0.0
647,,,,8800933,20784,7.739999999999998
648,,,,9091700,22428,0.0
649,,,,9253155,23460,0.0
650,,,,9488483,23952,0.0
651,,,,9725255,28020,0.0
652,,,,9960563,29436,7.98
653,,,,10195848,29688,0.0
654,,,,10427773,32412,0.0
655,,,,10656446,31512,0.0
656,,,,10883283,21660,0.0
657,,,,11109383,19800,8.088000000000003
658,,,,11328328,25920,0.0
659,,,,11548770,29664,0.0
660,,,,11771002,33060,0.0
661,,,,11994153,36612,0.0
662,,,,12217643,40764,8.376000000000001
663,,,,12449374,45108,0.0
664,,,,12677354,48288,0.0
665,,,,12903183,57444,0.0
666,,,,13130161,57144,0.0
667,,,,13360285,62472,8.604000000000003
668,,,,13583553,70032,8.676
669,,,,13815861,76368,8.724000000000002
670,,,,14054613,81228,8.760000000000002
671,,,,14295145,85392,8.784
672,,,,14534024,81984,0.0
673,,,,4510552,12816,6.264000000000002
674,,,,4576985,13776,0.0
675,,,,4591600,15192,0.0
676,,,,4694300,17076,0.0
677,,,,4836397,22140,6.791999999999999
678,,,,4892391,23508,0.0
679,,,,4949302,24780,0.0
680,,,,5006338,26220,0.0
681,,,,5062759,26748,0.0
682,,,,5118189,27636,7.235999999999998
683,,,,5175094,28476,0.0
684,,,,5230458,29052,0.0
685,,,,5283542,30084,0.0
686,,,,5333170,30876,0.0
687,,,,5378879,32796,7.656
688,,,,5429044,35364,0.0
689,,,,5467861,37332,0.0
690,,,,5499287,39252,0.0
691,,,,5528910,38208,0.0
692,,,,5560453,39816,7.836000000000002
693,,,,5585785,43572,7.895999999999997
694,,,,5618823,45672,7.944
695,,,,5657250,46620,7.967999999999999
696,,,,5696329,47580,7.992000000000001
697,,,,1356651,38688,8.628000000000002
698,,,,1342202,42432,0.0
699,,,,1331234,45672,0.0
700,,,,1321719,51000,0.0
701,,,,1313198,52332,0.0
702,,,,1334175,51144,9.360000000000001
703,,,,1325610,56532,0.0
704,,,,1316690,66732,0.0
705,,,,1307160,90276,0.0
706,,,,1297650,111516,0.0
707,,,,1288495,130440,9.888
708,,,,1278915,159168,0.0
709,,,,1270415,210048,0.0
710,,,,1264005,229692,0.0
711,,,,1259010,187308,0.0
712,,,,1254225,186480,10.055999999999997
713,,,,1249427,222540,10.188
714,,,,1251631,220932,10.260000000000003
715,,,,1243096,242652,10.308000000000002
716,,,,1241852,253404,10.332
717,,,,1243450,217788,0.0
718,,,,719459,27684,0.0
719,,,,723187,30576,0.0
720,,,,725591,38304,0.0
721,,,,728408,44928,0.0
722,,,,732607,49248,8.328000000000001
723,,,,737759,50472,0.0
724,,,,745055,54840,0.0
725,,,,753658,56100,0.0
726,,,,762403,45180,0.0
727,,,,776325,58344,8.639999999999999
728,,,,782939,60876,8.663999999999998
729,,,,4614100,238332,0.0
730,,,,4633600,282552,0.0
731,,,,4654300,306984,0.0
732,,,,4675100,363252,9.395999999999997
733,,,,4698500,326568,0.0
734,,,,4720900,286284,0.0
735,,,,4741000,225912,0.0
736,,,,4761600,260388,0.0
737,,,,4781300,336816,9.779999999999996
738,,,,4802200,330096,0.0
739,,,,4823200,315552,0.0
740,,,,4844673,331752,0.0
741,,,,4864255,333600,0.0
742,,,,4881820,308592,10.283999999999999
743,,,,4898983,316596,0.0
744,,,,4915614,340680,0.0
745,,,,4929856,416412,0.0
746,,,,4944765,477516,0.0
747,,,,4961784,494424,10.427999999999999
748,,,,4979740,521844,0.0
749,,,,4998853,613068,0.0
750,,,,5020096,678252,0.0
751,,,,5042316,598536,0.0
752,,,,5063494,587268,10.536
753,,,,5085985,645708,10.572000000000001
754,,,,5110450,602784,10.583999999999998
755,,,,5135433,630864,10.583999999999998
756,,,,5159944,633984,10.596
757,,,,5181797,538344,0.0
758,,,,51382600,129180,8.891999999999998
759,,,,51637600,179280,0.0
760,,,,51900800,215988,0.0
761,,,,52157600,234408,0.0
762,,,,52417900,234696,0.0
763,,,,52952900,287616,9.348
764,,,,53282900,285852,0.0
765,,,,53622300,313632,0.0
766,,,,53945400,294252,0.0
767,,,,54247100,308364,0.0
768,,,,54528500,352356,9.899999999999999
769,,,,54791600,351660,0.0
770,,,,55045500,316728,0.0
771,,,,55280700,326280,0.0
772,,,,55043393,325416,0.0
773,,,,55267624,295776,10.176000000000002
774,,,,55511272,297552,0.0
775,,,,55935517,320568,0.0
776,,,,56360402,391872,0.0
777,,,,56813922,446880,0.0
778,,,,57160687,461040,10.404
779,,,,57824447,481164,0.0
780,,,,58167011,548184,0.0
781,,,,58482967,598812,0.0
782,,,,58770727,549300,0.0
783,,,,59056283,536964,10.572000000000001
784,,,,59344643,578604,10.608000000000002
785,,,,59638457,540024,10.631999999999998
786,,,,59910069,563064,10.644000000000004
787,,,,60275954,567816,10.656
788,,,,4986400,18660,0.0
789,,,,5018550,15204,0.0
790,,,,4988700,8880,0.0
791,,,,4518900,6672,0.0
792,,,,4410850,7332,0.0
793,,,,4310350,8616,0.0
794,,,,4240600,9936,0.0
