generation,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Boomers,960.8400000000001,1017.0100000000001,1183.7199999999998,1216.19,1266.5300000000002,1581.93,3461.170000000001,3668.3800000000006,3820.3699999999985,3890.5300000000007,2896.4099999999994,2831.150000000002,2718.519999999999,2824.6500000000005,2890.01,2828.260000000001,2892.34,2791.3399999999997,2765.2699999999995,2522.2,2410.15,2390.74,2364.54,2452.070000000001,2506.1800000000007,0.0,2367.780000000001,2325.459999999998,2297.640000000001,2148.6299999999987,1792.0199999999995,481.02000000000004
G.I. Generation,3799.550000000001,3617.0100000000025,4163.249999999999,4061.31,4346.969999999999,5274.169999999998,3415.4100000000008,3367.77,3411.780000000001,3872.0499999999997,4709.410000000001,4326.520000000002,4257.63,4336.900000000001,4287.24,4461.889999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generation X,860.8100000000001,823.0600000000002,861.0500000000003,904.3799999999998,1010.2500000000006,1233.82,1267.92,1194.25,1213.0300000000004,1290.33,3912.8799999999965,3846.2699999999995,3846.6499999999987,3856.3699999999994,4134.999999999998,3990.34,2325.5699999999997,2283.0399999999995,2144.21,2000.7200000000003,1970.1400000000006,1864.0500000000009,2058.83,1914.9399999999994,1957.1699999999992,4304.520000000001,2286.929999999999,2214.2300000000005,2119.91,1975.3300000000006,1556.8999999999999,425.5499999999999
Generation Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.15,105.19999999999995,106.44000000000001,114.19999999999999,109.68000000000002,104.11999999999998,105.57000000000004,100.44000000000004,87.37999999999998,0.0
Millenials,0.0,0.0,0.0,0.0,0.0,0.0,72.73999999999997,75.76999999999998,100.92999999999998,84.99999999999996,94.10999999999999,113.25000000000004,98.66000000000003,115.29,109.01999999999998,91.57999999999998,1723.9099999999996,1750.66,1657.59,1563.6900000000007,1507.079999999999,1549.4199999999996,1419.76,1426.23,1429.1799999999998,1403.3800000000003,3274.969999999998,3101.2599999999998,3038.27,2870.2500000000014,2217.7399999999993,572.0000000000001
Silent,1190.6900000000003,1122.7599999999998,1337.4300000000003,1291.2499999999998,1412.7900000000002,1788.8299999999992,2103.82,2222.710000000001,2244.1800000000007,2345.8799999999997,3047.450000000001,3025.020000000001,2896.369999999998,3017.5099999999993,3052.6400000000012,3015.3799999999997,7334.389999999998,7402.679999999997,7060.509999999999,6495.189999999996,6277.620000000001,6361.800000000001,6455.87,6247.400000000001,6177.069999999995,6021.890000000002,3328.4800000000005,3356.8399999999992,3102.25,3212.08,2599.950000000001,668.8199999999999
